DateTime,AddedIPs,RemovedIPs
1599892613,0,1
1599894520,0,1
1599898569,0,1
1599900524,0,1
1599906277,0,1
1599910088,1,0
1599916049,3,0
1599923769,1,0
1599929551,0,1
1599935303,2,1
1599937389,1,1
1599939430,1,0
1599945159,1,0
1599947050,0,2
1599948979,1,0
1599950915,0,1
1599952807,2,0
1599958591,0,1
1599960489,0,1
1599966565,1,0
1599972254,0,1
1599974202,0,1
1599976091,0,1
1599978254,0,1
1599985283,0,1
1599990976,0,1
1599997962,1,1
1600002279,1,3
1600010170,0,1
1600017853,1,0
1600019843,3,0
1600021691,0,1
1600023709,0,1
1600025563,1,2
1600035389,1,1
1600039236,1,0
1600043091,1,2
1600050998,2,0
1600053185,2,1
1600055076,1,0
1600058938,1,0
1600064651,2,0
1600066632,1,0
1600081962,1,0
1600087695,1,0
1600089629,1,0
1600093514,0,1
1600095389,1,0
1600104381,0,1
1600106202,0,2
1600110305,0,2
1600112199,1,0
1600116035,0,1
1600121775,2,0
1600125670,0,2
1600129495,1,1
1600137399,0,1
1600139331,1,2
1600141484,1,0
1600145315,0,1
1600151070,0,2
1600153049,0,1
1600160908,0,1
1600166927,0,1
1600168822,1,1
1600174701,3,1
1600176787,0,1
1600178746,0,1
1600182499,0,1
1600188255,1,0
1600190206,1,0
1600199843,1,1
1600201699,1,0
1600207988,0,1
1600211796,1,1
1600215640,1,1
1600217559,1,0
1600221400,2,0
1600225461,0,1
1600233170,0,1
1600248519,1,0
1600250639,0,1
1600252815,1,0
1600256650,0,1
1600260516,0,3
1600262408,1,0
1600270116,1,0
1600278762,1,0
1600280654,1,0
1600288571,0,1
1600292654,1,0
1600294606,0,1
1600296491,0,1
1600298416,0,1
1600306119,1,0
1600308106,0,3
1600311861,1,0
1600313771,1,0
1600315744,1,0
1600317624,1,0
1600321478,1,0
1600329404,1,0
1600339003,0,1
1600340898,0,1
1600342813,2,0
1600350743,1,0
1600354985,2,0
1600356999,0,1
1600362732,0,1
1600368740,0,1
1600370654,0,1
1600372646,1,0
1600378367,0,3
1600380366,0,1
1600391816,0,1
1600399452,1,1
1600405265,0,1
1600409059,0,1
1600410973,0,1
1600414812,0,1
1600426334,0,1
1600428277,1,0
1600430173,1,1
1600436195,0,1
1600440023,0,1
1600441957,0,1
1600459291,2,0
1600461147,2,0
1600478415,1,0
1600486127,0,1
1600499596,1,0
1600511097,1,0
1600512998,1,1
1600520893,0,1
1600536327,1,0
1600538261,1,0
1600544927,0,1
1600546857,0,3
1600558352,1,0
1600568015,0,1
1600573718,2,0
1600587160,1,0
1600589134,2,0
1600591006,0,1
1600594847,0,1
1600598662,0,1
1600602765,1,0
1600608589,1,0
1600610523,1,0
1600621953,0,1
1600623873,0,1
1600625840,0,1
1600627715,2,0
1600637346,1,0
1600657028,0,1
1600658960,2,0
1600663719,0,1
1600675456,0,2
1600677373,0,1
1600681235,1,0
1600685081,0,1
1600687247,1,0
1600694917,0,1
1600697083,1,0
1600701266,0,1
1600714994,0,2
1600721079,1,0
1600724892,0,1
1600728732,1,0
1600741005,1,0
1600742918,1,0
1600744840,1,0
1600748682,0,1
1600763059,1,0
1600766924,0,1
1600773889,0,1
1600777744,0,1
1600779738,1,0
1600785408,0,1
1600787412,0,1
1600797003,2,0
1600799009,1,0
1600804892,1,0
1600810395,0,1
1600814444,2,0
1600824068,1,0
1600825982,1,0
1600827918,0,1
1600829864,0,1
1600831695,1,0
1600834842,1,0
1600836735,0,1
1600849267,0,1
1600855016,1,0
1600862392,0,1
1600865346,1,0
1600867502,0,1
1600875189,1,0
1600883770,0,3
1600891458,0,1
1600893372,1,0
1600901292,0,1
1600903234,0,1
1600907073,1,0
1600909076,1,0
1600910889,1,1
1600912922,0,1
1600920768,1,0
1600922650,0,1
1600936091,1,0
1600940928,0,1
1600944727,1,0
1600946677,1,0
1600956581,1,0
1600958436,1,0
1600960577,0,1
1600964670,0,1
1600968497,1,0
1600978118,1,1
1600991788,1,1
1600995930,0,1
1600997777,1,1
1601001883,0,1
1601003799,1,0
1601005694,1,0
1601007644,1,1
1601013423,1,0
1601017412,1,0
1601019219,1,0
1601023003,0,1
1601026818,0,1
1601032618,0,1
1601042261,1,1
1601044394,0,1
1601053994,0,1
1601056112,1,0
1601059931,2,0
1601063797,1,0
1601068609,0,1
1601070545,1,0
1601072440,1,0
1601078218,0,1
1601089802,0,2
1601093535,0,1
1601097386,1,0
1601101263,0,1
1601105072,0,2
1601128381,0,1
1601134334,1,0
1601136250,1,0
1601143961,2,0
1601145882,0,3
1601149696,0,1
1601153533,0,1
1601157397,1,1
1601159293,0,1
1601176604,1,0
1601188096,1,1
1601198182,1,0
1601203931,1,0
1601207770,1,0
1601209692,1,0
1601223430,0,1
1601234948,1,2
1601243529,0,1
1601254335,1,0
1601258334,1,0
1601262260,0,1
1601269935,1,0
1601277643,0,1
1601279557,0,1
1601285298,0,1
1601291342,0,1
1601297079,0,1
1601298998,0,1
1601304773,1,0
1601306713,1,0
1601322277,0,1
1601339796,1,1
1601341964,1,0
1601343856,1,1
1601347780,1,0
1601351531,1,0
1601355376,0,1
1601367177,1,0
1601378690,1,0
1601390418,1,1
1601392365,0,1
1601396179,1,0
1601398120,1,0
1601410125,1,0
1601415908,2,0
1601423805,1,0
1601427937,0,1
1601429801,0,1
1601433618,0,1
1601435624,0,1
1601439582,0,1
1601445402,2,0
1601447317,1,0
1601452144,4,0
1601464575,1,0
1601468479,0,1
1601478305,1,0
1601482045,0,1
1601487883,0,1
1601489781,1,0
1601491931,1,0
1601499769,0,1
1601503688,0,1
1601505614,0,1
1601509449,1,0
1601513323,0,1
1601532757,0,2
1601534996,1,0
1601538842,0,4
1601540752,0,1
1601544518,1,0
1601551504,0,1
1601558460,0,1
1601560344,2,0
1601566148,0,1
1601577610,0,1
1601579561,0,1
1601585324,0,1
1601587224,1,0
1601589193,2,0
1601597016,1,0
1601600936,0,1
1601604782,1,0
1601608602,1,0
1601610501,1,0
1601616495,1,0
1601626574,0,1
1601630475,1,0
1601634492,1,1
1601646538,0,1
1601648428,1,0
1601650362,0,1
1601656118,2,0
1601671969,1,0
1601673882,2,1
1601675847,0,1
1601677714,1,0
1601687801,0,1
1601691637,1,0
1601693656,1,0
1601695481,0,1
1601697372,0,1
1601699293,0,1
1601703399,0,1
1601716812,0,1
1601718734,2,0
1601720677,1,1
1601726447,0,1
1601734358,0,1
1601742012,0,1
1601743936,1,1
1601747774,0,1
1601759336,0,1
1601761243,0,2
1601765078,1,1
1601766977,1,0
1601770855,1,0
1601778525,1,2
1601788118,1,0
1601790036,1,0
1601803521,2,1
1601805406,0,1
1601807301,0,1
1601820969,2,0
1601824811,1,0
1601832494,2,1
1601836333,2,0
1601840418,1,0
1601846180,1,0
1601851944,0,1
1601853885,0,1
1601855781,0,1
1601859743,1,0
1601861793,1,0
1601865612,0,1
1601875206,1,1
1601879080,1,0
1601880971,0,1
1601888654,0,1
1601890597,1,1
1601909777,0,2
1601911695,1,0
1601919412,0,1
1601923220,0,3
1601928977,0,1
1601932823,0,1
1601940742,2,0
1601950365,0,1
1601952260,0,1
1601958282,1,0
1601962093,0,1
1601965953,0,1
1601973617,1,0
1601979380,1,0
1601981324,0,1
1601987083,1,0
1601994742,1,0
1601996668,0,1
1602010131,3,0
1602012018,0,1
1602021642,1,0
1602025483,1,1
1602031242,1,1
1602037243,1,0
1602043012,0,1
1602052581,1,0
1602054540,1,0
1602060282,0,1
1602066264,0,1
1602068214,2,0
1602073945,1,0
1602075861,1,0
1602077799,0,1
1602081616,1,1
1602083572,0,1
1602087402,1,0
1602095055,0,1
1602096983,0,1
1602098922,0,1
1602108525,0,1
1602112336,0,1
1602116176,2,0
1602129770,2,0
1602131805,2,0
1602139450,0,1
1602141367,0,1
1602147129,1,0
1602149084,1,0
1602154887,1,1
1602158660,1,0
1602160617,0,1
1602164433,1,0
1602166370,0,2
1602174020,1,1
1602175939,1,0
1602179784,1,0
1602181724,1,0
1602191300,2,0
1602193244,2,0
1602202847,0,1
1602204737,2,0
1602206662,0,1
1602210498,1,0
1602214568,0,1
1602220333,0,1
1602224172,2,0
1602226095,1,0
1602228037,1,0
1602233816,1,1
1602239572,0,1
1602241458,2,1
1602243376,1,0
1602245332,1,1
1602247217,1,0
1602249141,1,0
1602254895,1,1
1602258744,0,1
1602262605,1,1
1602266436,0,1
1602268368,0,1
1602272177,1,0
1602274130,0,1
1602276019,0,1
1602277939,0,2
1602279888,1,1
1602289459,0,1
1602291409,2,1
1602295301,0,1
1602297165,1,1
1602308686,0,2
1602310578,0,1
1602312494,0,1
1602314448,1,1
1602318262,2,0
1602320215,0,1
1602329786,2,0
1602331727,0,3
1602333621,1,2
1602337487,1,0
1602343248,0,1
1602345142,0,1
1602349004,0,1
1602358613,0,1
1602362420,1,0
1602366254,0,1
1602370345,1,0
1602372289,1,0
1602382098,0,2
1602384020,0,1
1602397482,1,0
1602399376,1,1
1602405135,0,1
1602407067,1,0
